year,semester,subjectCode,num,time
2013,1,ENG10062,1,"M2,M3"
2013,1,ENG20021,1,"M5,Th5"
2013,1,GEE20034,1,"Th2,Th3"
2013,1,GEE30023,1,"Th4,Th5"
2013,1,GEK10000,2,"M3,M4,Th3,Th4"
2013,1,GEK10021,1,"Th5,Th6"
2013,1,GEK10022,1,"M5,Th5"
2013,1,GEK10022,2,"M6,Th6"
2013,1,GEK10033,1,"M6,Th6"
2013,1,GEK10038,1,"M4,M5"
2013,1,GEK10038,3,"Th4,Th5"
2013,1,GEK10040,1,"M2,M3"
2013,1,GEK10042,1,"M3,Th3"
2013,1,GEK10045,14,"M5,Th5"
2013,1,GEK10055,4,"M6,Th6"
2013,1,GEK10056,1,"M7,Th7"
2013,1,GEK10057,1,"M5,Th5"
2013,1,GEK10057,2,"M1,Th1"
2013,1,GEK10057,3,"M2,Th2"
2013,1,GEK10059,3,"M3,Th3"
2013,1,GEK10059,4,"M5,Th5"
2013,1,GEK10060,1,"M3,Th3"
2013,1,GEK10062,1,"M2,Th2"
2013,1,GEK10062,2,"M3,Th3"
2013,1,GEK10095,2,"M2,Th2"
2013,1,GEK10096,1,"M1,Th1"
2013,1,GEK10096,2,"M2,Th2"
2013,1,GEK10096,3,"M3,Th3"
2013,1,GEK20011,1,"Th3,Th4"
2013,1,GEK20011,2,"M3,M4"
2013,1,GEK20011,3,"Th3,Th4"
2013,1,GEK20016,1,"M5,Th5"
2013,1,GEK20021,1,"Th7,Th8"
2013,1,GEK20021,2,Th6
2013,1,GEK20028,3,"Th2,Th3"
2013,1,GEK20042,2,"M4,M5"
2013,1,GEK20044,1,"M6,M7"
2013,1,GEK20045,1,"M3,Th3"
2013,1,GEK20053,1,"M3,Th3"
2013,1,GEK30014,2,"M5,Th5"
2013,1,GEK30046,1,"M3,Th3"
2013,1,GEK40094,1,M4
2013,1,GEK40096,1,"M4,Th4"
2013,1,GEK40096,2,"M4,M5"
2013,1,ISL10071,1,"M2,Th2"
2013,1,ISL10071,2,"M5,Th5"
2013,1,ISL10074,1,"M3,Th3"
2013,1,ISL10075,2,"M3,Th3"
2013,1,ISL10075,4,"M4,Th4"
2013,1,ISL10075,6,"M2,Th2"
2013,1,ISL10075,7,"M3,Th3"
2013,1,ISL10075,8,"M4,Th4"
2013,1,ISL10075,9,"M5,Th5"
2013,1,ISL10075,11,"M3,Th3"
2013,1,ISL10091,1,"M5,Th5"
2013,1,ISL10091,2,"M6,Th6"
2013,1,ISL20077,1,"M2,Th2"
2013,1,ISL30036,1,"M6,Th6"
2013,1,PCO10012,1,"M1,Th1"
2013,1,PCO10012,2,"M2,Th2"
2013,1,PCO10012,3,"M3,Th3"
2013,1,PCO10012,4,"M3,Th3"
2013,1,PCO10012,5,"M4,Th4"
2013,1,PCO10012,6,"M6,Th6"
2013,1,PCO10012,7,"M2,Th2"
2013,1,PCO10012,8,"M4,Th4"
2013,1,PCO10012,9,"M5,Th5"
2013,1,PCO10012,14,"M5,Th5"
2013,1,PCO10013,1,"M2,Th2"
2013,1,PCO10013,2,"M3,Th3"
2013,1,PCO10013,3,"M4,Th4"
2013,1,PCO10013,4,"M3,Th3"
2013,1,PCO10013,5,"M5,Th5"
2013,1,PCO10013,6,"M6,Th6"
2013,1,PCO10013,7,"M2,Th2"
2013,1,PCO10013,9,"M5,Th5"
2013,1,PCO10015,1,"M7,Th7"
2013,1,PCO10016,1,"M4,Th4"
2013,1,PCO10024,1,"M2,Th2"
2013,1,PCO10024,2,"M3,Th3"
2013,1,PCO10052,1,"M5,Th5"
2013,1,PCO10058,4,"M2,Th2"
2013,1,PCO10058,5,"M3,Th3"
2013,1,PCO10058,6,"M5,Th5"
2013,1,PCO10058,8,"M2,Th2"
2013,1,PCO10058,9,"M3,Th3"
2013,1,PCO10058,10,"M6,Th6"
2013,1,PCO10058,14,"M6,Th6"
2013,1,PCO10058,15,"M7,Th7"
2013,1,PCO10058,16,"M8,Th8"
2013,1,PCO10058,17,"M5,Th5"
2013,1,PCO10058,18,"M6,Th6"
2013,1,PCO20004,1,"M2,Th2"
2013,1,PCO20004,2,"M3,Th3"
2013,1,PCO20004,3,"M4,Th4"
2013,1,PCO20004,4,"M1,Th1"
2013,1,PCO20004,5,"M2,Th2"
2013,1,PCO20004,6,"M3,Th3"
2013,1,PCO20004,7,"M5,Th5"
2013,1,PCO20004,8,"M6,Th6"
2013,1,PCO20004,9,"M8,Th8"
2013,1,PCO20005,1,"M1,Th1"
2013,1,PCO20005,2,"M3,Th3"
2013,1,PCO20005,3,"M2,Th2"
2013,1,PCO20005,4,"M5,Th5"
2013,1,PCO20005,5,"M2,Th2"
2013,1,PCO20005,6,"M4,Th4"
2013,1,PCO20005,7,"M5,Th5"
2013,1,PCO20005,8,"M6,Th6"
2013,1,PCO20015,1,"M5,Th5"
2013,1,PCO20051,1,"M2,Th2"
2013,1,PCO20051,2,"M1,Th1"
2013,1,PCO20053,1,"M2,Th2"
2013,1,PCO20053,2,"M3,Th3"
2013,1,PCO20065,1,"M5,Th5"
2013,1,PCO20065,2,"M6,Th6"
2013,1,GEA10035,1,"M7,M8"
2013,1,GEA20002,1,"Th5,Th6"
2013,1,GEA20008,1,M1
2013,1,GEA20009,1,M1
2013,1,GEA20018,1,"M4,Th4"
2013,1,GEA20051,1,"M2,Th2"
2013,1,GEA20053,1,"M3,Th1"
2013,1,GEA30010,1,"M8,M9"
2013,1,GEA30011,1,M1
2013,1,GEA30012,1,M1
2013,1,GEA30018,1,"M5,M6"
2013,1,GEA40001,1,M1
2013,1,GEA40002,1,"Th2,Th3"
2013,1,ISE10051,1,"M2,Th2"
2013,1,ISE10051,2,"M4,Th4"
2013,1,ISE10052,1,"M6,Th6"
2013,1,ISE10052,2,"M5,Th5"
2013,1,ISE20040,1,"M5,Th5"
2013,1,ISE20042,1,"M4,Th4"
2013,1,ISE20052,1,"M2,Th2"
2013,1,ISE20075,1,"M1,Th1"
2013,1,ISE20079,1,"M3,Th3"
2013,1,ISE20083,1,"M5,Th5"
2013,1,ISE30015,1,"M3,Th3"
2013,1,ISE30071,1,"M6,Th6"
2013,1,ISE30095,1,"M6,Th6"
2013,1,ISE30096,1,"M2,Th2"
2013,1,ISE30097,1,"M2,Th2"
2013,1,ISE40073,1,"M4,Th4"
2013,1,CCC20033,1,"M5,Th5"
2013,1,CCC20052,1,"M6,Th6"
2013,1,CCC20053,1,"M2,Th2"
2013,1,CCC20065,1,"M3,Th3"
2013,1,CCC20072,1,"M7,Th7"
2013,1,CCC20081,1,"M5,Th5"
2013,1,CCC30052,1,"M3,Th3"
2013,1,CCC30062,1,"Th8,Th9"
2013,1,CCC30069,1,"M7,M8"
2013,1,CCC30073,1,"Th8,Th9"
2013,1,CCC30081,1,"Th4,Th5"
2013,1,CCC40081,1,"M4,Th4"
2013,1,GMP10001,2,"M2,Th2"
2013,1,GMP10001,3,"M6,Th6"
2013,1,GMP20003,3,"M1,Th1"
2013,1,GMP20005,1,"M5,Th5"
2013,1,GMP30001,1,"M1,Th1"
2013,1,GMP30001,2,"M2,Th2"
2013,1,GMP30002,2,"M1,Th1"
2013,1,GMP30004,1,"M3,Th3"
2013,1,GMP30005,1,"M3,Th3"
2013,1,GMP40005,1,"M4,Th4"
2013,1,GMP40012,1,"M5,Th5"
2013,1,MEC10001,2,"M6,Th6"
2013,1,MEC10002,1,"M3,Th3"
2013,1,MEC10002,3,"M2,Th2"
2013,1,MEC10002,4,"M6,Th6"
2013,1,MEC20001,1,"M5,Th5"
2013,1,MEC20002,1,"M3,Th3"
2013,1,MEC20002,2,"M1,Th1"
2013,1,MEC20003,2,"M5,Th5"
2013,1,MEC20005,3,"M4,Th4"
2013,1,MEC20005,4,"M5,Th5"
2013,1,MEC20051,1,"M1,Th1"
2013,1,MEC20055,3,"M1,Th1"
2013,1,MEC20055,4,"M4,Th4"
2013,1,MEC20057,1,"M7,M8"
2013,1,MEC20058,2,"M1,Th1"
2013,1,MEC20059,1,"M1,Th1"
2013,1,MEC20059,2,"M2,Th2"
2013,1,MEC20059,3,"M5,Th5"
2013,1,MEC30003,1,"M4,Th4"
2013,1,MEC30005,1,"M6,Th6"
2013,1,MEC30006,1,"M2,Th2"
2013,1,MEC30010,1,"M3,Th3"
2013,1,MEC30012,1,"M5,Th5"
2013,1,MEC30052,1,"M2,Th2"
2013,1,MEC30057,1,"M6,Th6"
2013,1,MEC30058,1,"M5,Th5"
2013,1,MEC30066,1,"M2,Th2"
2013,1,MEC30068,2,"M2,Th2"
2013,1,MEC30074,1,"M3,Th3"
2013,1,MEC30075,1,"M6,Th6"
2013,1,MEC40006,1,"M3,Th3"
2013,1,MEC40010,1,"M6,Th6"
2013,1,MEC40055,1,"M3,Th3"
2013,1,MEC40061,1,"M4,Th4"
2013,1,MEC40079,1,"M5,Th5"
2013,1,LAW10004,1,"M6,Th6"
2013,1,LAW30034,1,"M2,Th2"
2013,1,LAW30072,1,"M3,Th3"
2013,1,LAW30074,1,"Th5,Th6"
2013,1,LAW30077,1,"M4,M5"
2013,1,LAW50005,1,"Th6,Th7"
2013,1,UIL20010,1,"M6,Th6"
2013,1,UIL30051,1,"M2,Th2"
2013,1,UIL40064,1,"M4,M5"
2013,1,CSW20001,1,"Th2,Th3"
2013,1,CSW20002,2,"Th3,Th4"
2013,1,CSW20005,1,"M2,Th2"
2013,1,CSW20012,1,"M2,Th2"
2013,1,CSW20015,2,"M3,Th3"
2013,1,CSW20016,1,"M5,M6"
2013,1,CSW20054,1,"M6,Th6"
2013,1,CSW20064,1,"M2,Th2"
2013,1,CSW30006,1,"Th5,Th6"
2013,1,CSW30010,1,"M3,Th3"
2013,1,CSW30012,1,"M5,M6"
2013,1,CSW30017,2,"M2,M3"
2013,1,CSW30018,1,"M5,Th5"
2013,1,CSW30018,2,"M3,M4"
2013,1,CSW30026,1,"M4,Th4"
2013,1,CSW30055,1,"M2,Th2"
2013,1,CSW30056,1,"M5,Th5"
2013,1,CSW30077,1,"Th5,Th6"
2013,1,CSW40010,2,"M2,Th2"
2013,1,CSW40016,1,"M4,Th4"
2013,1,CSW40051,1,"M6,Th6"
2013,1,CSW40054,2,"Th7,Th8"
2013,1,CSW40054,3,"Th7,Th8"
2013,1,BFT20001,1,"M2,Th2"
2013,1,BFT20001,2,"M1,Th1"
2013,1,BFT20010,1,"M4,Th4"
2013,1,BFT30010,1,"M8,Th8"
2013,1,BFT30016,1,"M2,Th2"
2013,1,BFT30020,1,"M6,Th6"
2013,1,BFT30027,1,"M5,Th5"
2013,1,BFT30055,1,"M9,Th9"
2013,1,BFT40001,1,"M3,Th3"
2013,1,BFT40005,1,"M8,Th8"
2013,1,BFT40012,1,"M4,Th4"
2013,1,BFT40014,1,"M2,Th2"
2013,1,BFT40051,1,"M5,Th5"
2013,1,ECE20010,1,"M4,Th4"
2013,1,ECE20010,2,"M5,Th5"
2013,1,ECE20016,2,"M6,Th6"
2013,1,ECE20051,1,"M2,Th2"
2013,1,ECE20057,1,"M3,Th3"
2013,1,ECE20060,1,"M6,M7"
2013,1,ECE20060,2,"Th6,Th7"
2013,1,ECE30011,1,"M6,Th6"
2013,1,ECE30012,1,"M2,Th2"
2013,1,ECE30012,2,"M4,Th4"
2013,1,ECE30021,1,"M3,Th3"
2013,1,ECE30063,1,"M3,Th3"
2013,1,ECE30075,1,"M4,M5,Th4,Th5"
2013,1,ECE40081,1,"M5,Th5"
2013,1,ECE40084,1,"M2,Th2"
2013,1,ITP20003,1,"M4,Th4"
2013,1,ITP30005,1,"M5,Th5"
2013,1,ITP40003,1,"M4,Th4"
2013,1,IID10004,1,"Th2,Th3"
2013,1,IID10004,2,"Th5,Th6"
2013,1,IID10005,1,"Th2,Th3"
2013,1,IID20006,3,"Th7,Th8"
2013,1,IID20013,3,"Th2,Th3"
2013,1,IID20016,1,"Th6,Th7"
2013,1,IID20016,2,"Th6,Th7"
2013,1,IID20055,3,"Th4,Th5"
2013,1,IID20061,1,"M5,M6"
2013,1,IID20061,2,"M2,M3"
2013,1,IID30003,1,"M2,M3"
2013,1,IID30003,2,"M5,M6"
2013,1,IID30011,2,"Th2,Th3"
2013,1,IID30018,1,Th5
2013,1,IID30067,2,"M5,M6"
2013,1,IID30071,1,"M2,M3"
2013,1,IID40057,1,M9
2013,1,IID40057,2,Th5
2013,1,IID40057,3,Th6
2013,1,IID40066,1,"M2,M3"
2013,1,IID40070,1,"Th2,Th3"
2013,1,IID40071,1,"M5,M6"
2013,1,HMM20011,1,"M6,Th6"
2013,1,HMM20031,1,"M1,Th1"
2013,1,HMM30012,1,"M2,Th2"
2013,1,HMM30032,1,"M2,Th2"
2013,1,HMM30053,1,"M4,Th4"
2013,1,HMM30055,1,"M3,W7,W8"
2013,1,HMM40043,1,"M3,Th3"
2013,1,HMM40052,1,"M5,Th5"
2013,1,CUE20002,1,"M5,Th5"
2013,1,CUE20003,2,"Th5,Th6,Th7"
2013,1,CUE20005,1,"M4,T4"
2013,1,CUE20051,1,"M2,Th2"
2013,1,CUE20052,1,"M1,Th1"
2013,1,CUE30007,1,"M5,M6,M7,M8"
2013,1,CUE30030,1,"M2,Th2"
2013,1,CUE30051,1,"M2,Th2"
2013,1,CUE30052,1,"M4,Th4"
2013,1,CUE30059,1,"M6,Th6"
2013,1,CUE30062,1,"M5,M6,M7"
2013,1,CUE40003,1,"Th5,Th6,Th7,Th8"
2013,1,SIE10004,1,"Th8,Th9,Th10"
2013,1,SIE10006,1,"Th8,Th9,Th10"
2013,1,SIE10024,1,"M8,M9,M10"
2013,1,SIE10026,1,"Th8,Th9,Th10"
2013,1,SIE20007,1,"M8,M9,M10"
2013,1,SIE20008,1,"M8,M9,M10"
2013,1,SIE20052,1,"M8,M9,M10"
2013,1,SIE30002,1,"Th8,Th9,Th10"
2013,1,SIE30040,1,"M8,M9,M10"
2013,1,SIE40013,1,"Th8,Th9,Th10"
2013,1,SIE40014,1,"M8,M9,M10"
2013,1,SIE40061,1,"M11,Th11,S3"
